[DEBUG] [2021-12-01 13:33:52,101] TemplateLoader.findTemplateSource("v3html/v3-html-head_en.ftl"): Not found
[DEBUG] [2021-12-01 13:33:52,101] TemplateLoader.findTemplateSource("v3html/v3-html-head.ftl"): Found
[DEBUG] [2021-12-01 13:33:52,101] Loading template for "v3html/v3-html-head.ftl"("en", UTF-8, parsed) from "jar:file:/C:/Users/PhuongHM/.m2/repository/com/aventstack/extentreports/4.0.9/extentreports-4.0.9.jar!/com/aventstack/extentreports/view/v3html/v3-html-head.ftl"
[DEBUG] [2021-12-01 13:33:52,103] Couldn't find template in cache for "v3html/v3-html-nav.ftl"("en", UTF-8, parsed); will try to load it.
[DEBUG] [2021-12-01 13:33:52,103] TemplateLoader.findTemplateSource("v3html/v3-html-nav_en.ftl"): Not found
[DEBUG] [2021-12-01 13:33:52,103] TemplateLoader.findTemplateSource("v3html/v3-html-nav.ftl"): Found
[DEBUG] [2021-12-01 13:33:52,104] Loading template for "v3html/v3-html-nav.ftl"("en", UTF-8, parsed) from "jar:file:/C:/Users/PhuongHM/.m2/repository/com/aventstack/extentreports/4.0.9/extentreports-4.0.9.jar!/com/aventstack/extentreports/view/v3html/v3-html-nav.ftl"
[DEBUG] [2021-12-01 13:33:52,109] Couldn't find template in cache for "v3html/test-view/v3-html-test-view.ftl"("en", UTF-8, parsed); will try to load it.
[DEBUG] [2021-12-01 13:33:52,109] TemplateLoader.findTemplateSource("v3html/test-view/v3-html-test-view_en.ftl"): Not found
[DEBUG] [2021-12-01 13:33:52,109] TemplateLoader.findTemplateSource("v3html/test-view/v3-html-test-view.ftl"): Found
[DEBUG] [2021-12-01 13:33:52,109] Loading template for "v3html/test-view/v3-html-test-view.ftl"("en", UTF-8, parsed) from "jar:file:/C:/Users/PhuongHM/.m2/repository/com/aventstack/extentreports/4.0.9/extentreports-4.0.9.jar!/com/aventstack/extentreports/view/v3html/test-view/v3-html-test-view.ftl"
[DEBUG] [2021-12-01 13:33:52,115] Couldn't find template in cache for "v3html/test-view/v3-html-test-view-charts.ftl"("en", UTF-8, parsed); will try to load it.
[DEBUG] [2021-12-01 13:33:52,116] TemplateLoader.findTemplateSource("v3html/test-view/v3-html-test-view-charts_en.ftl"): Not found
[DEBUG] [2021-12-01 13:33:52,116] TemplateLoader.findTemplateSource("v3html/test-view/v3-html-test-view-charts.ftl"): Found
[DEBUG] [2021-12-01 13:33:52,116] Loading template for "v3html/test-view/v3-html-test-view-charts.ftl"("en", UTF-8, parsed) from "jar:file:/C:/Users/PhuongHM/.m2/repository/com/aventstack/extentreports/4.0.9/extentreports-4.0.9.jar!/com/aventstack/extentreports/view/v3html/test-view/v3-html-test-view-charts.ftl"
[DEBUG] [2021-12-01 13:33:52,123] Couldn't find template in cache for "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed); will try to load it.
[DEBUG] [2021-12-01 13:33:52,124] TemplateLoader.findTemplateSource("v3html/test-view/v3-html-standard_en.ftl"): Not found
[DEBUG] [2021-12-01 13:33:52,124] TemplateLoader.findTemplateSource("v3html/test-view/v3-html-standard.ftl"): Found
[DEBUG] [2021-12-01 13:33:52,124] Loading template for "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) from "jar:file:/C:/Users/PhuongHM/.m2/repository/com/aventstack/extentreports/4.0.9/extentreports-4.0.9.jar!/com/aventstack/extentreports/view/v3html/test-view/v3-html-standard.ftl"
[DEBUG] [2021-12-01 13:33:52,131] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
